id, x, y, theta, volume, gfp, rfp, yfp, cfp
0, 501.230011, 83.804794, 10.083566, 3.226734, 0, 161, 0, 0
1, 174.173080, 33.699951, 12.557829, 2.491999, 124, 0, 0, 0
2, 258.896790, 118.419739, 9.604507, 2.814067, 0, 140, 0, 0
3, 532.363708, 323.833435, 7.115745, 4.015180, 200, 0, 0, 0
4, 428.715424, 326.961456, 7.378162, 3.901129, 195, 0, 0, 0
5, 283.872955, 259.534088, 5.778753, 2.865163, 0, 143, 0, 0
6, 362.624542, 454.925781, 7.416691, 3.576845, 178, 0, 0, 0
7, 267.841156, 463.559692, 6.109942, 2.947723, 0, 147, 0, 0
8, 199.291962, 478.803131, 10.009267, 3.510651, 0, 175, 0, 0
9, 159.424393, 579.703003, 4.998419, 2.856673, 142, 0, 0, 0
10, 73.579292, 637.978760, 10.643179, 2.702523, 0, 135, 0, 0
11, -67.831345, 569.722839, 7.667617, 4.067432, 203, 0, 0, 0
12, -8.774409, 249.617157, 7.792811, 3.623313, 0, 181, 0, 0
13, -144.187866, 518.581116, 4.579748, 2.957511, 0, 147, 0, 0
14, -125.676994, 238.932327, 11.699003, 3.155372, 157, 0, 0, 0
15, -222.463501, 353.932190, 8.248486, 2.618992, 0, 130, 0, 0
16, -391.458374, 453.625031, 12.810656, 2.982489, 0, 149, 0, 0
17, -193.575073, 204.965759, 8.755749, 2.807407, 0, 140, 0, 0
18, -178.336304, 138.065659, 11.777333, 2.226768, 111, 0, 0, 0
19, -283.599274, 183.706482, 8.649339, 3.372996, 0, 168, 0, 0
20, -532.702576, 290.514679, 7.554096, 4.451175, 0, 222, 0, 0
21, -471.899780, 146.031265, 9.503886, 3.776533, 0, 188, 0, 0
22, -556.367615, 89.063377, 6.387372, 3.214607, 0, 160, 0, 0
23, -407.589294, -64.414658, 9.932340, 2.512591, 0, 125, 0, 0
24, -257.826630, 0.001926, 9.016086, 2.774470, 0, 138, 0, 0
25, -389.759064, -122.516533, 9.964069, 3.312798, 165, 0, 0, 0
26, -137.142624, -32.498276, 12.688720, 4.309474, 0, 215, 0, 0
27, -397.485535, -245.023331, 9.929005, 3.537297, 0, 176, 0, 0
28, -369.856964, -390.640625, 6.983531, 2.796273, 0, 139, 0, 0
29, -271.727020, -275.222839, 7.355878, 3.328764, 166, 0, 0, 0
30, -174.110886, -206.747589, 9.355697, 3.644747, 182, 0, 0, 0
31, -221.235718, -410.290070, 7.175676, 3.920698, 0, 196, 0, 0
32, -179.668915, -596.877502, 8.192176, 3.852397, 192, 0, 0, 0
33, -182.676758, -617.512207, 5.100250, 2.416951, 0, 120, 0, 0
34, -0.329457, -408.120605, 10.820727, 3.387708, 0, 169, 0, 0
35, -23.562174, -620.629395, 8.328886, 3.976807, 0, 198, 0, 0
36, 74.826385, -473.996674, 10.848011, 2.975047, 148, 0, 0, 0
37, 170.264526, -500.795380, 8.165764, 3.327750, 0, 166, 0, 0
